# Step PotentialEnergy(eV) KineticEnergy(eV) TotalEnergy(eV)
3880 -5359.11544681458 947196.515693105 941837.40024629
3890 -5899.52430439379 947130.398569188 941230.874264794
3900 -7555.55799126863 945109.927118738 937554.369127469
3910 -5002.40706449949 941685.250176392 936682.843111892
3920 -4986.26236455457 940587.971823142 935601.709458587
3930 -5929.6189366885 943039.396708168 937109.77777148
3940 -6693.03791631212 940941.119836406 934248.081920094
3950 -5134.98671769463 943440.611487475 938305.62476978
3960 -5774.03650257039 941682.47519737 935908.438694799
3970 -5349.74529204491 948252.445606878 942902.700314833
3980 -4605.32256922891 950985.302370537 946379.979801308
3990 -5069.62545879496 950210.933505236 945141.308046441
4000 -5204.15577291148 948528.143772343 943323.987999431
4010 -6862.46137730139 949131.043209022 942268.58183172
4020 -5559.43218874844 944687.453051376 939128.020862627
4030 -5444.84531927189 943749.842576344 938304.997257072
4040 -5292.79235998322 944609.471069528 939316.678709544
4050 -6551.92227982417 944627.623673966 938075.701394142
4060 -5429.51743542855 946109.207309842 940679.689874413
4070 -6263.3095847369 943672.14547166 937408.835886923
4080 -6021.05210933764 943559.634509199 937538.582399861
4090 -8742.50967052229 945670.067472272 936927.557801749
4100 -6212.0413938721 946725.18099382 940513.139599947
4110 -5688.74554617056 944654.077287523 938965.331741352
4120 -5018.12628787792 945703.429010108 940685.30272223
4130 -4096.95940188138 943274.452346885 939177.492945004
4140 -4864.59808294206 946041.881529897 941177.283446955
4150 -4836.7757631297 949445.999146657 944609.223383527
4160 -5029.21650864049 951542.44215805 946513.225649409
4170 -7036.92264350149 954167.633419041 947130.710775539
4180 -4791.23934635743 952945.887783925 948154.648437567
4190 -5752.23228019165 955801.702917128 950049.470636936
4200 -6482.1657965023 956857.85893816 950375.693141658
4210 -4993.80752400316 953780.868515123 948787.06099112
4220 -7796.75449178712 957486.117604771 949689.363112983
4230 -5406.91611600981 956828.863339624 951421.947223614
4240 -6047.85633903728 951667.121800446 945619.265461409
4250 -5797.41724806928 954755.668400228 948958.251152158
4260 -6507.58578044261 955989.702665854 949482.116885411
4270 -6118.02219314158 957055.55052109 950937.528327949
4280 -5294.18637013092 955827.972531786 950533.786161655
4290 -7303.56340711111 957540.29933999 950236.735932879
4300 -8142.21390198517 957993.261196853 949851.047294868
4310 -5315.56106138283 956312.614148287 950997.053086904
4320 -6260.92407095772 954658.725982323 948397.801911365
4330 -5189.10976032645 952692.820911475 947503.711151148
4340 -4835.94544459377 950301.9985096 945466.053065007
